ID,Gender,Married,Age,Graduated,Profession,Work_Experience,Family_Size,Spending_Score
460219,Female,Yes,51,Yes,Entertainment,8,2,Average
460877,Female,Yes,47,No,Artist,0,5,Average
460191,Female,No,33,No,Healthcare,8,4,Low
463742,Male,Yes,56,Yes,Artist,0,4,Average
463691,Female,No,33,No,Homemaker,0,3,Low
463250,Female,No,36,Yes,Doctor,0,2,Low
463952,Male,Yes,51,No,Artist,4,3,Low
461558,Male,Yes,45,Yes,Engineer,2,2,Average
466567,Female,No,49,Yes,,1,1,Low
465379,Male,No,30,No,Healthcare,0,4,Low
463814,Female,No,26,No,Healthcare,6,3,Low
466938,Male,Yes,63,Yes,Artist,8,1,Low
460671,Male,Yes,35,No,Entertainment,8,4,Average
462204,Female,No,19,No,Marketing,1,3,Low
461671,Male,No,32,No,Healthcare,7,5,Low
459384,Male,Yes,52,Yes,Artist,0,3,Average
459905,Female,Yes,36,Yes,Artist,5,2,Low
464734,Female,No,42,No,Entertainment,7,3,Low
464125,Male,Yes,40,No,Doctor,0,2,Average
467434,Male,No,39,Yes,Entertainment,0,3,Low
460956,Female,Yes,47,Yes,Artist,1,4,Average
465179,Female,Yes,61,Yes,Artist,1,2,High
463338,Male,Yes,32,No,Entertainment,1,2,Low
467066,Male,Yes,55,No,Artist,0,1,Low
463845,Male,Yes,58,Yes,Artist,,1,Average
459976,Female,No,38,Yes,Artist,0,1,Low
461334,Male,Yes,63,Yes,Artist,0,2,High
465108,Male,Yes,58,Yes,Doctor,1,2,Average
462600,Male,Yes,30,No,Engineer,3,3,Average
464144,Male,Yes,60,Yes,Artist,0,4,Average
466911,Male,Yes,68,No,Executive,1,7,High
462806,Male,Yes,52,No,Artist,0,3,Low
463426,Male,Yes,38,No,Executive,0,5,High
464065,Female,Yes,35,Yes,Healthcare,10,2,Low
462979,Male,No,18,No,Doctor,1,2,Low
462834,Male,Yes,30,Yes,Homemaker,3,2,Low
460764,Male,No,86,No,Lawyer,1,1,Low
466466,Female,,19,No,Healthcare,6,5,Low
460185,Male,No,25,No,Healthcare,9,3,Low
459749,Male,Yes,59,Yes,Entertainment,,4,Low
464406,Female,No,39,Yes,Artist,0,1,Low
467758,Female,Yes,50,Yes,Doctor,1,,Low
462059,Male,No,47,Yes,Artist,1,1,Low
467905,Male,Yes,43,Yes,Executive,0,3,High
461177,Male,Yes,36,No,Executive,8,4,Average
460765,Male,Yes,80,No,Lawyer,1,1,Low
465386,Other,No,36,Yes,Artist,0,2,Low
465827,Male,No,27,No,,2,7,Low
462332,Female,Yes,37,Yes,Artist,1,2,High
464481,Male,Yes,46,Yes,Executive,0,3,High
461011,Male,Yes,55,No,Executive,1,4,High
464749,Female,Yes,47,No,Engineer,9,4,Average
461094,Female,No,28,Yes,Healthcare,1,3,Low
462104,Male,Yes,39,No,Entertainment,9,2,Low
464524,Female,Yes,27,No,Marketing,1,2,Low
466295,Female,Yes,42,No,Engineer,0,,Low
461787,Male,Yes,72,Yes,Artist,0,2,Average
467857,Female,Yes,28,Yes,Engineer,0,2,Low
460153,Male,No,35,Yes,Entertainment,8,5,Low
465215,Male,Yes,39,Yes,Executive,9,5,High
466746,Female,Yes,69,Yes,Lawyer,0,2,High
464857,Male,No,18,No,Healthcare,6,4,Low
459478,Male,Yes,46,Yes,Artist,,1,Low
460723,Female,Yes,50,Yes,Engineer,1,2,High
459853,Male,No,30,No,Executive,5,5,Low
459390,Other,No,41,No,Artist,,2,Low
460410,Female,No,39,Yes,Artist,3,4,Low
463823,Female,No,29,No,Marketing,8,4,Low
462008,Female,Yes,37,Yes,Artist,4,4,Low
459750,Female,Yes,39,Yes,Engineer,0,2,Average
459880,Female,Yes,48,Yes,Artist,0,5,Average
459261,Female,No,32,Yes,Doctor,0,3,Low
465656,Male,Yes,78,No,Lawyer,1,,Low
465395,Female,Yes,43,No,Engineer,0,5,Average
461631,Male,No,29,No,Marketing,8,5,Low
464904,Female,Yes,28,No,Engineer,9,2,Average
461740,Male,Yes,80,Yes,Lawyer,1,1,Low
467092,Female,No,28,Yes,Healthcare,7,4,Low
464173,Male,Yes,71,Yes,Artist,6,3,Average
464972,Male,Yes,67,No,Lawyer,0,9,High
467959,Female,No,26,No,Engineer,0,1,Low
467688,Female,Yes,47,Yes,Engineer,0,2,Average
460043,Female,Yes,43,Yes,Artist,2,2,Average
466590,Female,No,27,Yes,Healthcare,0,4,Low
461191,Female,Yes,45,Yes,Marketing,8,4,Low
465662,Male,Yes,76,No,Executive,1,1,Low
459231,Female,Yes,43,Yes,Artist,3,4,Average
466495,Female,Yes,78,Yes,Lawyer,1,2,High
459192,Male,Yes,35,Yes,Artist,3,3,Average
465710,Female,No,49,Yes,Artist,1,1,Low
460258,Female,No,25,Yes,Healthcare,1,5,Low
462813,Male,Yes,37,No,Executive,0,5,Average
463595,Female,No,32,No,Healthcare,1,5,Low
467768,Male,Yes,60,Yes,Doctor,0,2,Average
465291,Female,Yes,45,Yes,Artist,5,3,Average
462996,Female,Yes,49,Yes,Homemaker,9,3,Average
463497,Male,No,32,Yes,Artist,0,5,Low
465301,Female,Yes,40,Yes,Artist,0,3,Low
464702,Male,Yes,59,No,Artist,2,2,Average
459012,Male,Yes,48,Yes,Artist,3,5,Low
465053,Male,Yes,82,Yes,Executive,0,2,High
459420,Female,Yes,70,Yes,Lawyer,0,2,Low
464166,Male,No,31,Yes,Artist,5,2,Low
458987,Female,Yes,72,Yes,Lawyer,0,2,High
467745,Male,Yes,50,Yes,Artist,3,4,Average
464866,Female,No,23,No,Engineer,11,1,Low
461081,Female,No,20,No,Healthcare,2,6,Low
467896,Female,No,22,No,Healthcare,4,3,Low
463991,Female,No,31,Yes,Engineer,8,1,Low
466620,Female,Yes,36,Yes,Artist,7,2,Average
462594,Male,Yes,52,No,Entertainment,,5,Average
462206,Female,No,29,Yes,Artist,,1,Low
460697,Male,Yes,40,Yes,Artist,4,4,Average
467934,Female,No,40,Yes,Artist,1,1,Low
460054,Male,Yes,38,Yes,Artist,,2,Low
459576,Female,Yes,85,No,Lawyer,,,Low
467910,Female,No,21,No,Doctor,1,3,Low
467335,Female,Yes,41,No,Engineer,4,2,Average
460263,Male,Yes,40,Yes,Artist,0,2,Low
459340,Male,Yes,53,Yes,Artist,1,3,Average
465622,Female,Yes,42,Yes,Artist,5,2,Low
459395,Male,Yes,42,No,Executive,8,2,Low
467539,Male,Yes,48,Yes,Artist,,4,Average
466574,Male,Yes,59,Yes,Artist,7,2,Low
466544,Male,Yes,41,Yes,Executive,1,3,Average
463610,Female,Yes,31,Yes,Artist,0,2,Average
465539,Female,Yes,49,Yes,Artist,1,5,High
459823,Male,Yes,67,Yes,Executive,1,2,Low
467614,Male,Yes,35,No,Artist,4,2,Average
459073,Female,No,26,Yes,Healthcare,0,3,Low
466065,Male,,19,No,Healthcare,9,3,Low
464863,Female,Yes,25,No,Engineer,6,8,Average
460022,Female,Yes,39,Yes,Healthcare,4,2,Low
459929,Male,Yes,63,Yes,Entertainment,0,2,Low
466613,Male,No,23,No,Healthcare,8,3,Low
461149,Female,No,23,No,Healthcare,0,3,Low
466068,Female,Yes,53,Yes,Artist,2,1,Low
461513,Male,No,33,Yes,Doctor,0,2,Low
464761,Female,Yes,50,No,Engineer,,4,Average
466236,Female,Yes,69,Yes,Engineer,0,2,Low
459664,Male,No,37,Yes,Artist,2,1,Low
461967,Female,No,20,No,Marketing,3,4,Low
460516,Female,,85,No,Lawyer,0,1,High
461710,Female,Yes,49,Yes,Doctor,1,4,Average
462742,Male,No,18,No,Healthcare,0,3,Low
459528,Female,Yes,52,Yes,Doctor,0,2,Average
462691,Male,Yes,25,No,Doctor,,2,Average
462934,Male,Yes,56,No,Executive,,2,High
465837,Male,No,62,Yes,,0,1,Low
464613,Female,No,35,,Artist,0,3,Low
467515,Male,Yes,28,Yes,Engineer,0,2,Average
463429,Female,No,28,Yes,Artist,7,3,Low
464024,Other,No,20,No,Healthcare,0,5,Low
460691,Female,No,27,No,Homemaker,8,1,Low
461825,Female,No,56,No,Engineer,,1,Low
467271,Male,Yes,45,Yes,Artist,4,4,Average
465634,Male,No,25,Yes,Healthcare,1,4,Low
464801,Male,No,40,No,Marketing,1,1,Low
459429,Female,Yes,25,Yes,Healthcare,,2,Low
459888,Female,Yes,74,No,Lawyer,,2,High
463467,Female,No,23,No,Healthcare,0,4,Low
462036,Female,Yes,67,Yes,Lawyer,0,2,High
461282,Male,No,21,No,Healthcare,0,4,Low
460448,Female,No,38,Yes,Artist,9,1,Low
464464,Male,No,28,No,Healthcare,0,4,Low
462410,Female,No,32,No,Healthcare,1,5,Low
467252,Female,No,33,Yes,,0,4,Low
459756,Female,Yes,56,No,Lawyer,1,4,High
463789,Female,Yes,53,Yes,Artist,1,2,Low
466947,Male,Yes,57,No,Executive,1,5,High
464150,Female,Yes,59,Yes,Artist,0,3,Average
465693,Female,Yes,25,Yes,Healthcare,1,4,High
461670,Male,Yes,59,Yes,Artist,0,6,Average
466768,Female,Yes,36,Yes,Artist,0,4,Low
461550,Male,Yes,37,Yes,Entertainment,7,2,Low
462438,Male,No,22,No,Doctor,1,3,Low
460704,Male,Yes,43,Yes,Artist,1,2,Low
464884,Male,Yes,41,Yes,Artist,1,2,Low
467050,Female,No,21,No,Engineer,0,5,Low
460738,Female,No,49,No,Engineer,1,,Low
466176,Male,No,38,Yes,Doctor,8,1,Low
459488,Male,Yes,47,No,Artist,,4,Average
467773,Male,Yes,70,Yes,Lawyer,1,3,High
465425,Other,No,31,No,Engineer,1,4,Low
462318,Female,Yes,82,No,Lawyer,0,2,Average
466078,Female,Yes,51,No,Executive,,1,Low
460792,Female,No,42,No,Homemaker,11,,Low
460197,Male,No,38,Yes,Artist,8,3,Low
459375,Male,Yes,18,No,Executive,0,4,High
463862,Male,Yes,50,Yes,Artist,6,3,Average
460144,Female,No,46,Yes,Doctor,1,,Low
462721,Female,Yes,72,No,Lawyer,1,3,High
459637,Female,No,33,No,Engineer,,4,Low
465809,Female,No,25,No,Homemaker,1,7,Low
466915,Female,Yes,75,No,Entertainment,2,2,High
467343,Male,No,72,Yes,Artist,1,1,Low
466268,Female,Yes,72,Yes,Artist,0,3,Average
464868,Male,Yes,36,Yes,Entertainment,6,6,Low
464038,Male,Yes,40,Yes,Artist,1,2,Low
460176,Female,No,28,Yes,Entertainment,0,4,Low
462161,Female,No,28,Yes,Doctor,0,3,Low
464841,Male,,19,No,Entertainment,0,3,High
464893,Male,Yes,43,Yes,Artist,0,2,Low
464443,Female,Yes,35,Yes,Artist,1,2,Average
467619,Male,Yes,65,Yes,Lawyer,1,2,High
465974,Male,Yes,52,Yes,Executive,7,4,High
462075,Female,No,40,Yes,Artist,1,1,Low
459494,Female,Yes,69,No,Engineer,9,3,Low
466921,Female,No,22,No,Healthcare,3,3,Low
463544,Male,Yes,47,Yes,Executive,1,4,Average
461167,Male,Yes,29,Yes,Marketing,1,2,High
467364,Male,Yes,46,Yes,Artist,1,3,Average
462408,Male,No,32,Yes,Artist,1,2,Low
466224,Female,No,38,Yes,Healthcare,0,1,Low
465151,Male,Yes,59,Yes,Artist,0,1,Low
467216,Female,No,26,Yes,Entertainment,1,1,Low
460586,Male,No,26,Yes,Healthcare,1,2,Low
461197,Male,No,28,No,Marketing,0,1,Low
462776,Female,Yes,53,Yes,Engineer,1,3,Average
465058,Female,No,43,,Entertainment,,1,Low
464088,Male,No,27,No,Doctor,1,3,Low
459471,Female,No,32,No,Artist,,8,Low
464695,Male,No,26,No,Engineer,0,4,Low
462331,Female,No,31,No,Entertainment,0,2,Low
466523,Male,Yes,39,Yes,Executive,1,3,High
465337,Female,Yes,43,No,Engineer,1,3,Low
460834,Male,Yes,25,No,Doctor,1,2,Low
466824,Male,Yes,40,Yes,Artist,3,3,High
461607,Female,Yes,40,Yes,Entertainment,7,2,Average
465091,Male,Yes,63,Yes,Entertainment,,3,Average
459532,Female,Yes,27,Yes,Healthcare,,2,Low
466999,Male,No,27,Yes,Healthcare,1,3,Low
466597,Female,No,19,No,Healthcare,1,2,Low
464075,Female,Yes,86,Yes,Lawyer,0,2,High
463394,Male,Yes,41,Yes,Marketing,,2,High
462163,Female,Yes,27,Yes,Artist,4,2,Average
463895,Female,Yes,70,No,Doctor,0,2,Average
464767,Female,Yes,53,No,Engineer,8,4,Average
464763,Female,Yes,49,No,Engineer,,4,Average
460718,Male,Yes,55,No,Executive,3,,Low
461989,Female,,57,Yes,Engineer,0,4,Average
466374,Male,Yes,83,No,Lawyer,,1,Low
463738,Male,Yes,43,No,Executive,0,4,High
465967,Male,Yes,36,No,Doctor,6,3,Low
462260,Male,Yes,74,Yes,Lawyer,0,2,Low
467234,Female,No,30,No,Homemaker,0,4,Low
466573,Female,No,37,Yes,Artist,5,2,Low
463229,Female,No,22,No,Marketing,0,1,Low
459768,Male,No,19,No,Healthcare,0,4,Low
462541,Male,Yes,70,Yes,Engineer,4,2,High
467714,Male,Yes,89,Yes,Lawyer,13,1,Low
467730,Male,No,18,No,Healthcare,,4,Low
459474,Male,No,25,Yes,Doctor,6,1,Low
460093,Female,No,45,Yes,Artist,4,1,Low
467865,Female,No,35,Yes,Artist,3,1,Low
465758,Female,Yes,37,No,Engineer,7,1,Low
464184,Female,Yes,39,No,Engineer,4,2,Average
462618,Female,No,32,Yes,Healthcare,1,5,Low
464226,Female,Yes,62,Yes,Artist,2,3,Average
465432,Female,Yes,58,Yes,Engineer,0,4,Average
464087,Female,No,32,No,Engineer,,4,Low
466627,Male,No,25,No,Healthcare,0,5,Low
467380,Female,Yes,56,Yes,Artist,0,4,Average
465842,Female,No,36,Yes,Entertainment,10,2,Low
464622,Female,No,30,No,Healthcare,8,3,Low
462083,Male,No,19,No,Healthcare,1,5,Low
460910,Male,No,27,Yes,Healthcare,0,2,Low
460255,Female,No,38,Yes,Doctor,14,1,Low
460109,Other,Yes,46,Yes,Artist,8,2,Average
464306,Male,No,29,Yes,Artist,3,1,Low
466835,Male,Yes,51,No,Entertainment,1,4,Average
465192,Male,Yes,55,No,Artist,0,1,Low
463380,Female,Yes,69,Yes,Engineer,1,1,Low
462391,Female,No,26,No,Healthcare,1,8,Low
467086,Female,Yes,83,Yes,Lawyer,0,3,Low
460306,Female,No,39,Yes,Healthcare,9,1,Low
460752,Male,Yes,35,Yes,Artist,9,1,Low
467264,Male,Yes,19,No,Marketing,2,5,High
461646,Female,Yes,60,Yes,Artist,,4,High
463570,Male,Yes,35,Yes,Artist,,4,Average
465277,Female,No,53,Yes,Engineer,,1,Low
467426,Female,Yes,86,No,Lawyer,,,Low
466258,Female,No,29,No,Healthcare,1,3,Low
463719,Female,No,26,No,Doctor,0,1,Low
460032,Male,No,36,Yes,Engineer,8,1,Low
465175,Female,No,22,No,Homemaker,0,4,Low
466610,Male,No,19,No,Marketing,0,5,Low
459036,Female,Yes,20,Yes,Lawyer,1,3,Average
464047,Male,No,43,Yes,Healthcare,3,3,Low
459496,Female,No,42,Yes,Artist,,3,Low
459997,Male,No,43,Yes,Entertainment,1,2,Low
463382,Female,Yes,50,Yes,Engineer,4,3,High
460967,Male,No,25,Yes,Entertainment,1,2,Low
465094,Male,Yes,61,No,Artist,1,2,High
461229,Female,Yes,28,Yes,Healthcare,0,2,Average
466442,Male,No,38,Yes,Artist,1,1,Low
464527,Male,No,25,No,Executive,12,3,Low
463560,Female,No,18,No,Healthcare,9,5,Low
460011,Male,Yes,43,Yes,Entertainment,1,5,Average
467207,Female,No,27,Yes,Artist,8,1,Low
465177,Female,No,60,Yes,Entertainment,1,2,Low
467531,Male,Yes,75,Yes,Lawyer,2,1,Low
465409,Female,No,31,No,Doctor,,4,Low
462842,Male,No,23,No,Doctor,6,4,Low
462124,Male,No,36,Yes,Artist,8,1,Low
466265,Male,No,30,No,Doctor,1,1,Low
459789,Male,Yes,56,No,Artist,1,2,Average
464223,Female,Yes,52,Yes,Artist,2,2,Low
460280,Male,Yes,39,Yes,Entertainment,0,1,Low
460331,Female,No,35,No,Artist,5,1,Low
461494,Male,Yes,33,No,Engineer,0,2,Average
460035,Female,No,25,Yes,Artist,0,6,Low
463812,Female,Yes,27,Yes,Artist,0,2,Average
465569,Male,Yes,35,Yes,Artist,1,3,High
466333,Female,Yes,41,Yes,Artist,1,2,Average
467668,Female,Yes,49,Yes,Artist,,3,Average
462723,Female,Yes,46,No,Artist,8,2,Average
460909,Female,No,31,No,Healthcare,,2,Low
467777,Male,No,49,Yes,Doctor,,1,Low
462404,Female,No,26,Yes,Artist,9,1,Low
461799,Male,Yes,43,Yes,Doctor,13,2,High
459933,Female,Yes,30,Yes,Artist,8,4,Low
463717,Female,Yes,70,Yes,Artist,1,4,Average
463652,Female,No,28,Yes,Artist,,1,Low
462149,Female,Yes,89,No,Lawyer,3,1,High
462769,Female,Yes,42,No,Homemaker,6,4,High
465532,Female,Yes,37,Yes,Entertainment,6,3,Average
462829,Male,Yes,29,No,Executive,1,3,Average
459210,Female,Yes,68,Yes,Artist,1,2,High
464659,Female,No,25,No,Engineer,1,1,Low
461411,Male,No,29,No,Healthcare,1,,Low
467759,Female,Yes,48,Yes,Doctor,0,2,Low
461475,Female,Yes,51,Yes,Doctor,1,3,Average
462714,Female,Yes,40,Yes,Engineer,1,5,High
466890,Male,Yes,47,Yes,Artist,0,6,Average
462888,Male,Yes,39,Yes,Executive,,3,High
467479,Male,Yes,35,Yes,Executive,1,4,Average
466799,Female,No,19,No,Healthcare,2,3,Low
466557,Female,No,21,No,Healthcare,7,,Low
460873,Male,Yes,46,Yes,Entertainment,0,3,Average
466776,Male,Yes,86,Yes,Lawyer,0,1,Low
459462,Male,Yes,66,Yes,Artist,0,2,High
465727,Male,No,42,No,Marketing,1,5,Low
462348,Female,Yes,73,Yes,Lawyer,1,2,High
460941,Male,Yes,72,No,Engineer,1,1,Low
461629,Male,Yes,53,Yes,Artist,0,3,Low
459907,Female,Yes,39,Yes,Artist,8,2,Average
467146,Female,No,27,No,Homemaker,9,1,Low
460916,Male,Yes,63,No,Entertainment,1,,Average
459196,Female,No,23,No,Healthcare,1,3,Low
465444,Female,No,30,Yes,Entertainment,0,4,Low
464186,Female,Yes,39,Yes,Artist,5,2,Average
466412,Male,Yes,26,Yes,Artist,1,3,Average
459480,Female,Yes,50,Yes,Entertainment,7,3,Low
467880,Female,Yes,45,Yes,Artist,1,2,Average
460216,Female,No,62,No,Entertainment,2,1,Low
467941,Female,No,27,Yes,Doctor,1,3,Low
466090,Male,Yes,57,Yes,Entertainment,1,,Low
462572,Female,Yes,30,No,Engineer,1,7,Average
467443,Male,No,32,No,Healthcare,7,4,Low
462548,Male,No,18,,Executive,,5,Low
459701,Male,No,47,No,Artist,3,3,Low
461139,Female,No,32,Yes,Artist,4,4,Low
461115,Female,Yes,32,No,Engineer,5,3,Low
459027,Male,Yes,67,Yes,Doctor,1,4,Average
467340,Female,Yes,77,Yes,Lawyer,0,2,High
461410,Male,Yes,79,No,,0,2,Average
460857,Other,No,31,No,Entertainment,1,1,Low
464300,Male,Yes,42,Yes,Artist,0,3,Low
460532,Female,No,18,No,,0,6,Low
463287,Male,Yes,50,Yes,Artist,1,4,Average
461392,Male,Yes,71,Yes,Artist,0,5,Average
461546,Female,Yes,72,No,Lawyer,1,3,Low
467780,Male,Yes,47,Yes,Artist,,3,Low
462130,Male,Yes,45,Yes,Artist,9,2,Average
464684,Female,No,40,No,Engineer,9,5,Low
462276,Female,No,36,Yes,Engineer,4,1,Low
462142,Female,No,42,Yes,Artist,,1,Low
462417,Male,No,30,No,Healthcare,4,4,Low
466463,Female,No,29,Yes,Healthcare,2,4,Low
464736,Male,No,28,Yes,Engineer,0,5,Low
467520,Male,,22,No,Healthcare,,2,Low
459835,Male,Yes,85,No,Lawyer,,1,Low
463855,Female,Yes,40,Yes,Artist,1,2,Average
460344,Female,Yes,52,Yes,Artist,14,2,Average
466211,Male,Yes,47,Yes,Artist,0,,Low
460139,Male,No,26,No,Artist,6,6,Low
464126,Female,No,55,Yes,Marketing,3,1,Low
461286,Female,No,20,No,Doctor,4,4,Low
461621,Female,Yes,87,Yes,Lawyer,0,2,High
460163,Male,No,28,No,Healthcare,0,2,Low
461958,Male,No,38,No,Artist,2,2,Low
464875,Male,Yes,42,No,Entertainment,1,2,Low
464791,Male,Yes,42,No,Marketing,0,6,High
464579,Female,No,29,No,Engineer,1,4,Low
463531,Male,No,32,Yes,Doctor,0,4,Low
462651,Male,Yes,38,No,Executive,,5,High
465486,Female,Yes,59,No,Artist,1,2,High
460882,Male,No,22,No,Healthcare,0,2,Low
467162,Female,No,26,No,Homemaker,9,,Low
461298,Female,Yes,78,Yes,Artist,1,2,High
461595,Female,No,32,Yes,Healthcare,0,3,Low
459260,Male,Yes,37,Yes,Artist,0,4,Average
462772,Male,Yes,37,Yes,Healthcare,1,4,High
462941,Male,No,67,No,Lawyer,,2,Low
459143,Male,Yes,47,No,Artist,0,4,High
464532,Female,Yes,68,Yes,Lawyer,0,2,High
460056,Male,No,30,Yes,Healthcare,3,5,Low
466761,Female,Yes,48,Yes,Entertainment,2,1,Low
465469,Female,No,43,Yes,Artist,6,1,Low
461886,Male,Yes,33,Yes,Healthcare,9,2,Low
465680,Male,Yes,31,No,Healthcare,0,5,Average
459316,Male,Yes,32,Yes,Healthcare,1,2,Low
465609,Female,No,21,No,Healthcare,1,4,Low
467009,Female,No,29,No,Homemaker,2,4,Low
461766,Female,Yes,35,Yes,Artist,1,2,Low
464938,Male,Yes,46,No,Artist,0,3,Low
462034,Female,Yes,38,Yes,Artist,9,2,High
464049,Female,No,32,Yes,Healthcare,1,3,Low
467925,Female,No,28,Yes,Artist,3,7,Low
463711,Female,Yes,68,Yes,Lawyer,3,1,Low
463846,Female,Yes,45,Yes,Artist,4,1,Low
462064,Male,Yes,58,Yes,Artist,0,3,Average
463249,Male,No,28,No,Entertainment,1,2,Low
464217,Female,No,32,No,Healthcare,12,3,Low
463378,Male,No,30,Yes,Doctor,1,1,Low
463035,Female,Yes,42,No,Homemaker,3,4,Average
459656,Male,No,22,No,,,6,Low
463114,Male,No,41,Yes,Artist,,3,Low
465309,Female,No,18,No,Healthcare,6,4,Low
462688,Female,Yes,29,Yes,Healthcare,8,3,Low
459255,Female,No,33,Yes,Healthcare,0,3,Low
467385,Male,No,47,No,Artist,1,,Low
467492,Female,Yes,57,Yes,Doctor,1,2,Low
460789,Male,Yes,36,Yes,Executive,1,3,Low
467307,Male,Yes,57,Yes,Executive,1,3,High
464026,Male,No,18,No,Healthcare,1,2,Low
464645,Male,,52,Yes,Artist,1,5,Average
462493,Male,Yes,52,Yes,Artist,1,6,Average
460685,Male,No,51,,Artist,6,4,Low
460452,Female,Yes,37,Yes,Entertainment,0,2,Average
459322,Male,No,36,Yes,Marketing,0,1,Low
464066,Female,No,29,Yes,Healthcare,9,3,Low
461114,Male,Yes,45,Yes,Artist,1,4,Average
465165,Male,No,61,Yes,Artist,0,1,Low
464526,Male,Yes,52,Yes,Entertainment,1,4,Average
460666,Female,Yes,49,Yes,Homemaker,14,1,Low
465417,Male,Yes,40,Yes,Entertainment,,2,Average
464096,Female,No,31,No,Healthcare,1,5,Low
464891,Male,Yes,42,No,Entertainment,1,3,Low
460107,Male,Yes,51,Yes,Engineer,1,5,Average
467708,Female,No,42,Yes,Healthcare,8,1,Low
461873,Male,No,29,Yes,Doctor,1,4,Low
465181,Female,No,33,Yes,Healthcare,8,1,Low
467204,Male,No,27,Yes,Healthcare,,3,Low
467320,Female,No,21,No,Healthcare,0,4,Low
459468,Male,Yes,35,No,Artist,9,3,Average
467316,Female,No,42,Yes,Doctor,0,1,Low
466182,Female,No,41,Yes,Artist,2,1,Low
463757,Male,No,39,Yes,Artist,0,3,Low
462314,Female,No,28,No,Doctor,14,1,Low
466392,Female,Yes,45,Yes,Engineer,3,,Average
466652,Female,Yes,61,Yes,Doctor,1,2,Average
461664,Male,Yes,62,Yes,Artist,0,4,Average
464105,Male,Yes,65,Yes,Entertainment,1,2,Average
